"compartment","cell_type","cell_type_tissue"
"immune","macrophage","macrophage_Liver"
"immune","monocyte","monocyte_Liver"
"endothelial","endothelial cell of hepatic sinusoid","endothelial cell of hepatic sinusoid_Liver"
"immune","liver dendritic cell","liver dendritic cell_Liver"
"immune","mature NK T cell","mature NK T cell_Liver"
"stromal","fibroblast","fibroblast_Liver"
"epithelial","hepatocyte","hepatocyte_Liver"
"epithelial","intrahepatic cholangiocyte","intrahepatic cholangiocyte_Liver"
"immune","T cell","T cell_Liver"
"immune","neutrophil","neutrophil_Liver"
"immune","plasma cell","plasma cell_Liver"
"epithelial","tracheal goblet cell","tracheal goblet cell_Trachea"
"endothelial","endothelial cell","endothelial cell_Trachea"
"stromal","smooth muscle cell","smooth muscle cell_Trachea"
"epithelial","ciliated cell","ciliated cell_Trachea"
"epithelial","ionocyte","ionocyte_Trachea"
"epithelial","secretory cell","secretory cell_Trachea"
"epithelial","basal cell","basal cell_Trachea"
"immune","mast cell","mast cell_Trachea"
"epithelial","mucus secreting cell","mucus secreting cell_Trachea"
"immune","CD8 positive alpha beta T cell","CD8-positive, alpha-beta T cell_Trachea"
"epithelial","serous cell of epithelium of trachea","serous cell of epithelium of trachea_Trachea"
"immune","B cell","B cell_Trachea"
"immune","CD4 positive alpha beta T cell","CD4-positive, alpha-beta T cell_Trachea"
"immune","double positive alpha beta thymocyte","double-positive, alpha-beta thymocyte_Trachea"
"immune","erythrocyte","erythrocyte_Blood"
"immune","CD4 positive alpha beta memory T cell","CD4-positive, alpha-beta memory T cell_Blood"
"immune","CD8 positive alpha beta cytokine secreting effector T cell","CD8-positive, alpha-beta cytokine secreting effector T cell_Blood"
"immune","classical monocyte","classical monocyte_Blood"
"immune","naive B cell","naive B cell_Blood"
"immune","memory B cell","memory B cell_Blood"
"immune","type I NK T cell","type I NK T cell_Blood"
"immune","CD141 positive myeloid dendritic cell","CD141-positive myeloid dendritic cell_Blood"
"immune","platelet","platelet_Blood"
"immune","naive thymus derived CD4 positive alpha beta T cell","naive thymus-derived CD4-positive, alpha-beta T cell_Blood"
"immune","non classical monocyte","non-classical monocyte_Blood"
"immune","hematopoietic stem cell","hematopoietic stem cell_Blood"
"immune","plasmacytoid dendritic cell","plasmacytoid dendritic cell_Blood"
"immune","basophil","basophil_Blood"
"immune","effector CD8 positive alpha beta T cell","effector CD8-positive, alpha-beta T cell_Lymph_Node"
"immune","effector CD4 positive alpha beta T cell","effector CD4-positive, alpha-beta T cell_Lymph_Node"
