"Feature","AvgWeight","CancerType"
"plasma cell_Bone Marrow",0.0114178247864426,"Lung Cancer"
"endothelial cell_Liver",0.00935566770760016,"Lung Cancer"
"plasma cell_Fat",0.0089046641386994,"Lung Cancer"
"mature NK T cell_Liver",0.00823077163398276,"Lung Cancer"
"plasma cell_Liver",0.00780590214259024,"Lung Cancer"
"innate lymphoid cell_Lymph Node",0.00745591034501611,"Lung Cancer"
"memory B cell_Skin",0.00744440667762561,"Lung Cancer"
"macrophage_Blood",0.00738143246344085,"Lung Cancer"
"monocyte_Liver",0.00735934165565502,"Lung Cancer"
"dendritic cell_Thymus",0.00710369973678839,"Lung Cancer"
"CD4 positive alpha beta T cell_Lung",0.00681553286735132,"Lung Cancer"
"intestinal tuft cell_Small Intestine",0.00669835260680169,"Lung Cancer"
"mature NK T cell_Fat",0.00659877739060357,"Lung Cancer"
"endothelial cell of lymphatic vessel_Vasculature",0.00657400814779436,"Lung Cancer"
"erythrocyte_Lymph Node",0.00651783472878834,"Lung Cancer"
"B cell_Small Intestine",0.00649745479656996,"Lung Cancer"
"leukocyte_Fat",0.00649374762866416,"Lung Cancer"
"hepatocyte_Liver",0.00630425598296511,"Lung Cancer"
"T cell_Uterus",0.00623591580622127,"Lung Cancer"
"naive thymus derived CD4 positive alpha beta T cell_Lymph Node",0.00617316711142905,"Lung Cancer"
"endothelial cell_Eye",0.00609749063801839,"Lung Cancer"
"kidney epithelial cell_Kidney",0.00605691828284043,"Lung Cancer"
"plasma cell_Small Intestine",0.00580515733786586,"Lung Cancer"
"T cell_Eye",0.00569113157580751,"Lung Cancer"
"B cell_Vasculature",0.00556723517346449,"Lung Cancer"
"monocyte_Small Intestine",0.00543712170321107,"Lung Cancer"
"CD1c positive myeloid dendritic cell_Lymph Node",0.00536944701801051,"Lung Cancer"
"myeloid dendritic cell_Thymus",0.00534517964397386,"Lung Cancer"
"neutrophil_Spleen",0.0053347725033691,"Lung Cancer"
"mesothelial cell_Muscle",0.00526901406665927,"Lung Cancer"
"mature NK T cell_Lung",0.00513680232969335,"Lung Cancer"
"epithelial cell_Skin",0.00512851353300465,"Lung Cancer"
"naive B cell_Skin",0.00510213209539355,"Lung Cancer"
"T cell_Fat",0.00505860901697237,"Lung Cancer"
"fibroblast_Fat",0.00504329984909575,"Lung Cancer"
"monocyte_Salivary Gland",0.00499091339348055,"Lung Cancer"
"basophil_Blood",0.0048022776603166,"Lung Cancer"
"CD8 positive alpha beta T cell_Spleen",0.00474091119039395,"Lung Cancer"
"macrophage_Thymus",0.00469549037016841,"Lung Cancer"
"leukocyte_Tongue",0.0046902563673848,"Lung Cancer"
"unknown_Heart",0.0046782501991576,"Lung Cancer"
"Schwann cell_Tongue",0.00459163881405211,"Lung Cancer"
